customerID,MonthlyCharges,Contract,InternetService,Churn
1091-SOZGA,99.8,One year,Fiber optic,No
2928-HLDBA,20.7,Month-to-month,No,No
0404-SWRVG,74.4,Month-to-month,Fiber optic,Yes
6497-TILVL,50.7,Month-to-month,DSL,No
7219-TLZHO,20.85,Month-to-month,No,No
4622-YNKIJ,88.95,Two year,Fiber optic,No
4412-YLTKF,78.05,Month-to-month,Fiber optic,Yes
6734-PSBAW,23.55,Two year,No,No
3930-ZGWVE,19.75,Month-to-month,No,No
2639-UGMAZ,56.45,One year,DSL,No
2876-GZYZC,85.95,Month-to-month,Fiber optic,No
6207-WIOLX,58.6,Month-to-month,DSL,Yes
8587-XYZSF,50.55,Two year,DSL,No
3091-FYHKI,35.45,Month-to-month,DSL,Yes
2372-HWUHI,44.35,Month-to-month,DSL,Yes
7799-LGRDP,25.7,Two year,No,No
7850-VWJUU,75,Month-to-month,Fiber optic,No
3774-VBNXY,20.2,Two year,No,No
6217-KDYWC,19.6,Two year,No,No
0390-DCFDQ,70.45,Month-to-month,Fiber optic,Yes
3146-MSEGF,88.05,Two year,DSL,No
4080-OGPJL,71.15,Month-to-month,DSL,Yes
1095-WGNGG,101.05,Two year,Fiber optic,No
2636-SJDOU,84.3,One year,Fiber optic,No
1131-QQZEB,23.95,Two year,No,No
5716-EZXZN,99.05,Two year,Fiber optic,No
6837-BJYDQ,19.6,One year,No,No
2135-RXIHG,45.65,Month-to-month,DSL,Yes
6440-DKQGE,64.5,One year,DSL,No
3466-BYAVD,69.5,Month-to-month,DSL,No
3780-YVMFA,68.55,Month-to-month,DSL,No
3874-EQOEP,95,Month-to-month,Fiber optic,Yes
1679-JRFBR,108.15,One year,Fiber optic,No
9073-ZZIAY,86.1,Two year,DSL,No
3077-RSNTJ,19.7,Month-to-month,No,No
6551-GNYDG,80.9,Month-to-month,Fiber optic,No
9167-APMXZ,84.15,Month-to-month,Fiber optic,No
2749-CTKAJ,20.15,One year,No,No
6371-NZYEG,64.25,Two year,DSL,No
7554-NEWDD,25.7,Two year,No,No
8992-VONJD,56,Month-to-month,DSL,No
0867-MKZVY,82.4,Month-to-month,Fiber optic,Yes
4482-EWFMI,69.7,Month-to-month,Fiber optic,No
4648-YPBTM,73.9,Two year,DSL,No
2907-ILJBN,20.6,One year,No,No
6345-FZOQH,19.9,Two year,No,No
3376-BMGFE,70.9,Month-to-month,Fiber optic,Yes
5997-OPVFA,89.05,Two year,DSL,No
3445-HXXGF,45.3,Month-to-month,DSL,Yes
1159-WFSGR,20.4,Month-to-month,No,No
7654-YWJUF,84.25,One year,Fiber optic,No
1875-QIVME,104.4,Month-to-month,Fiber optic,Yes
6727-IOTLZ,81.95,Two year,DSL,No
0691-JVSYA,94.85,One year,Fiber optic,Yes
5918-VUKWP,20.55,One year,No,No
1744-JHKYS,24.7,Month-to-month,No,No
2656-FMOKZ,74.45,Month-to-month,Fiber optic,Yes
2070-FNEXE,76.45,Month-to-month,Fiber optic,Yes
5947-SGKCL,105.35,Month-to-month,Fiber optic,No
3712-PKXZA,20.55,One year,No,No
6317-YPKDH,29.95,Month-to-month,DSL,Yes
6582-OIVSP,45.3,Month-to-month,DSL,No
9367-WXLCH,84.5,Month-to-month,Fiber optic,Yes
5524-KHNJP,74.75,One year,DSL,No
1918-ZBFQJ,79.25,Month-to-month,Fiber optic,Yes
1024-GUALD,24.8,Month-to-month,DSL,Yes
4827-USJHP,51.8,Month-to-month,DSL,No
8167-GJLRN,30.4,Month-to-month,DSL,No
0956-SYCWG,19.65,One year,No,No
8017-UVSZU,56.6,Month-to-month,DSL,No
7100-FQPRV,71.9,One year,DSL,No
2472-OVKUP,91,Month-to-month,Fiber optic,Yes
2984-RGEYA,19.75,Two year,No,No
9680-NIAUV,109.7,Two year,Fiber optic,No
2146-EGVDT,19.3,Two year,No,No
2604-IJPDU,96.55,Month-to-month,Fiber optic,No
9178-JHUVJ,24.1,Two year,No,No
6168-YBYNP,111.35,Month-to-month,Fiber optic,No
7255-SSFBC,112.25,Two year,Fiber optic,No
3645-DEYGF,20.75,Month-to-month,No,No
9323-HGFWY,101.9,One year,Fiber optic,No
8544-GOQSH,80.05,Month-to-month,Fiber optic,No
3363-DTIVD,105.55,Two year,Fiber optic,No
7018-WBJNK,78.3,Month-to-month,Fiber optic,No
9142-KZXOP,68.85,Month-to-month,Fiber optic,No
7674-YTAFD,79.95,One year,Fiber optic,No
6348-SNFUS,55.45,Two year,DSL,No
1285-OKIPP,79.9,Month-to-month,Fiber optic,Yes
7825-ECJRF,106.6,Month-to-month,Fiber optic,Yes
1347-KTTTA,102.45,One year,Fiber optic,No
7841-TZDMQ,46,Month-to-month,DSL,Yes
4195-NZGTA,25.25,Month-to-month,DSL,No
7157-SMCFK,19.75,Two year,No,No
4709-LKHYG,20,One year,No,No
2504-DSHIH,86.8,Month-to-month,Fiber optic,No
0699-NDKJM,58.75,Month-to-month,DSL,No
9286-BHDQG,45.25,Two year,DSL,No
0230-WEQUW,56.6,Two year,DSL,No
2040-LDIWQ,84.2,Two year,DSL,No
6496-JDSSB,80,Month-to-month,Fiber optic,No
9408-SSNVZ,70.15,Month-to-month,Fiber optic,Yes
4443-EMBNA,24.75,Two year,No,No
6469-MRVET,20.2,One year,No,No
0742-MOABM,50.05,Month-to-month,DSL,Yes
5961-VUSRV,19.35,One year,No,No
6778-JFCMK,50.6,One year,DSL,No
6341-JVQGF,81.15,One year,DSL,No
2232-DMLXU,55.2,Month-to-month,DSL,Yes
4811-JBUVU,89.9,Month-to-month,Fiber optic,No
0945-TSONX,85.3,Two year,DSL,No
2651-ZCBXV,108,Two year,Fiber optic,No
3316-UWXUY,93.5,Month-to-month,Fiber optic,No
8937-RDTHP,84.6,Month-to-month,Fiber optic,Yes
7083-MIOPC,20.25,Two year,No,No
1984-GPTEH,25.15,Month-to-month,No,No
1251-KRREG,54.4,Month-to-month,DSL,Yes
0621-JFHOL,29.6,Two year,DSL,No
9903-LYSAB,73.15,Month-to-month,Fiber optic,No
0094-OIFMO,95,Month-to-month,Fiber optic,Yes
9227-UAQFT,19.75,Two year,No,No
7301-ABVAD,86.6,Two year,DSL,No
6614-FHDBO,109.2,Two year,Fiber optic,No
7576-ASEJU,74.7,One year,DSL,No
9058-HRZSV,94.4,Month-to-month,Fiber optic,No
4522-AKYLR,54.8,Month-to-month,DSL,No
0221-WMXNQ,75.35,Month-to-month,Fiber optic,No
0303-UNCIP,65,One year,DSL,No
9947-OTFQU,74.4,Month-to-month,Fiber optic,Yes
0322-YINQP,48.55,Month-to-month,DSL,Yes
0959-WHOKV,99,One year,Fiber optic,No
4075-JFPGR,93.5,One year,Fiber optic,No
4629-NRXKX,70.4,Month-to-month,Fiber optic,Yes
9514-JDSKI,40.2,Month-to-month,DSL,Yes
3282-ZISZV,83.7,One year,DSL,No
3675-YDUPJ,19.85,Month-to-month,No,No
4111-BNXIF,59.55,Two year,DSL,No
7017-VFHAY,115.1,Two year,Fiber optic,No
6655-LHBYW,114.35,One year,Fiber optic,No
4959-JOSRX,44.6,Month-to-month,DSL,Yes
5046-NUHWD,45,Month-to-month,DSL,No
7273-TEFQD,41.15,Month-to-month,DSL,Yes
3606-TWKGI,106.9,Month-to-month,Fiber optic,Yes
7529-ZDFXI,89.85,Month-to-month,Fiber optic,No
7605-BDWDC,49.85,Two year,DSL,No
1950-KSVVJ,113.3,One year,Fiber optic,No
0123-CRBRT,88.1,Two year,DSL,No
6292-TOSSS,24.9,Two year,No,No
3197-ARFOY,105,Month-to-month,Fiber optic,No
6323-AYBRX,19.35,Two year,No,Yes
7014-ZZXAW,24.25,Two year,No,No
4385-GZQXV,94.45,Month-to-month,Fiber optic,Yes
7633-MVPUY,59.75,Two year,DSL,No
6366-ZGQGL,24.8,Month-to-month,DSL,Yes
4716-HHKQH,107.05,Month-to-month,Fiber optic,No
5940-AHUHD,70.6,Month-to-month,Fiber optic,Yes
6432-TWQLB,85.4,Month-to-month,Fiber optic,Yes
4484-GLZOU,105.05,Month-to-month,Fiber optic,Yes
3179-GBRWV,64.95,Month-to-month,DSL,No
8645-KWHJO,55,Month-to-month,DSL,No
4130-MZLCC,50.55,Month-to-month,DSL,No
0314-TKOSI,55.15,Month-to-month,DSL,No
8229-MYEJZ,51.2,Month-to-month,DSL,No
2080-SRCDE,25.4,Month-to-month,No,No
9577-WJVCQ,54.45,Month-to-month,DSL,No
9512-UIBFX,95.15,Month-to-month,Fiber optic,Yes
6202-DYYFX,76,One year,Fiber optic,No
3808-HFKDE,44.35,Month-to-month,DSL,No
5583-SXDAG,70,Month-to-month,Fiber optic,Yes
3488-PGMQJ,74.5,Month-to-month,Fiber optic,Yes
3580-REOAC,44.85,Month-to-month,DSL,Yes
7534-BFESC,76.1,Month-to-month,Fiber optic,Yes
3727-OWVYD,61.2,One year,DSL,No
2294-SALNE,86.8,One year,Fiber optic,No
4847-TAJYI,89.35,Month-to-month,Fiber optic,No
1563-IWQEX,19.7,Month-to-month,No,No
8203-XJZRC,20.25,Month-to-month,No,No
6556-DBKZF,76.05,Two year,Fiber optic,No
6851-WEFYX,100.8,Month-to-month,Fiber optic,No
2985-JUUBZ,74.55,Month-to-month,DSL,No
6390-DSAZX,73.6,Month-to-month,Fiber optic,Yes
0895-LMRSF,64.9,One year,DSL,No
8098-LLAZX,95.45,Month-to-month,Fiber optic,Yes
8266-VBFQL,90.4,Month-to-month,Fiber optic,No
8181-YHCMF,60.3,Two year,DSL,No
2240-HSJQD,81.85,Month-to-month,Fiber optic,No
1248-DYXUB,24.8,Two year,No,No
0265-EDXBD,74.9,Month-to-month,Fiber optic,Yes
4115-BNPJY,75.55,Two year,DSL,No
3167-SNQPL,101.15,Month-to-month,Fiber optic,No
4091-TVOCN,78.75,One year,DSL,No
1098-TDVUQ,19.25,Month-to-month,No,No
7277-OZCGZ,89.05,Month-to-month,Fiber optic,No
1557-EMYVT,115.05,Two year,Fiber optic,No
2799-ARNLO,69.35,Month-to-month,Fiber optic,No
7563-BIUPC,80.6,Month-to-month,Fiber optic,Yes
5027-YOCXN,110.05,One year,Fiber optic,No
3973-SKMLN,19.9,Two year,No,No
2321-OMBXY,80.3,One year,DSL,Yes
2840-XANRC,93.15,Month-to-month,Fiber optic,Yes
6745-JEFZB,91.5,Month-to-month,Fiber optic,No
5020-ZSTTY,82.45,One year,DSL,Yes
9880-TDQAC,60,Two year,DSL,No
8705-WZCYL,44.8,Month-to-month,DSL,No
7102-JJVTX,48.6,One year,DSL,No
8626-PTQGE,60.05,Two year,DSL,No
4983-CLMLV,102.7,Month-to-month,Fiber optic,No
5701-YVSVF,82.9,Month-to-month,Fiber optic,No
5804-LEPIM,70.35,Month-to-month,Fiber optic,Yes
5697-GOMBF,35.9,Month-to-month,DSL,No
2739-CACDQ,82.65,Month-to-month,Fiber optic,No
9385-EHGDO,19.85,Two year,No,No
9498-FIMXL,19.2,One year,No,No
2379-GYFLQ,94.9,One year,Fiber optic,No
0122-OAHPZ,73.85,Month-to-month,Fiber optic,Yes
2868-SNELZ,80.6,Month-to-month,Fiber optic,Yes
4322-RCYMT,75.8,One year,DSL,Yes
6680-NENYN,104.6,Two year,Fiber optic,Yes
2088-IEBAU,88.15,Two year,DSL,No
7982-VCELR,94.8,Month-to-month,Fiber optic,No
1343-EHPYB,103.4,Month-to-month,Fiber optic,Yes
6035-BXTTY,54.65,Month-to-month,DSL,No
6885-PKOAM,85.75,Two year,DSL,No
7520-HQWJU,67.45,Month-to-month,DSL,No
9639-BUJXT,20.5,One year,No,No
5924-SNGKP,20.25,One year,No,No
0021-IKXGC,72.1,Month-to-month,Fiber optic,No
2034-GDRCN,90.4,Month-to-month,Fiber optic,Yes
8966-SNIZF,19.45,Two year,No,No
6243-OZGFH,44.95,Month-to-month,DSL,No
4654-DLAMQ,97,One year,Fiber optic,No
0513-RBGPE,62.8,Two year,DSL,No
5160-UXJED,44.6,One year,DSL,No
4115-NZRKS,89.15,Month-to-month,Fiber optic,No
0219-YTZUE,84.8,Month-to-month,Fiber optic,Yes
0623-IIHUG,41.9,Month-to-month,DSL,Yes
4572-DVCGN,80.25,Month-to-month,Fiber optic,Yes
3351-NGXYI,54.1,Month-to-month,DSL,No
8984-EYLLL,105.25,Two year,Fiber optic,No
9057-MSWCO,30.75,Month-to-month,DSL,Yes
9833-TGFHX,97.1,One year,Fiber optic,No
9294-TDIPC,20.2,Month-to-month,No,No
5229-DTFYB,98.8,Two year,Fiber optic,No
0104-PPXDV,50.3,One year,DSL,No
5176-LMJXE,20.55,Two year,No,No
3583-KRKMD,75.9,Month-to-month,Fiber optic,No
1010-DIAUQ,96.5,Month-to-month,Fiber optic,Yes
9069-LGEUL,59.95,Month-to-month,DSL,No
7302-ZHMHP,19.15,Month-to-month,No,No
9571-EDEBV,98.65,One year,Fiber optic,No
3520-FJGCV,112.6,Two year,Fiber optic,No
6563-VRERX,20.6,One year,No,No
0259-GBZSH,85.65,Month-to-month,Fiber optic,Yes
6122-EFVKN,35.75,Two year,DSL,No
2805-EDJPQ,99.75,One year,Fiber optic,No
6862-CQUMB,96.1,Month-to-month,Fiber optic,No
7156-MXBJE,85.1,One year,DSL,No
6158-HDPXZ,25.35,Month-to-month,DSL,No
9601-BRXPO,104.95,Month-to-month,Fiber optic,Yes
2863-IMQDR,89.65,Two year,DSL,No
5686-CMAWK,86.75,One year,Fiber optic,No
5651-CRHKQ,86.2,One year,Fiber optic,No
6905-NIQIN,50.65,Month-to-month,DSL,Yes
8204-YJCLA,64.8,Two year,DSL,No
5167-ZFFMM,90.85,Month-to-month,Fiber optic,Yes
6583-SZVGP,108.1,Two year,Fiber optic,No
4895-TMWIR,19.95,Month-to-month,No,Yes
0533-BNWKF,85.45,Month-to-month,Fiber optic,Yes
1708-PBBOA,54.75,One year,DSL,No
8782-LKFPK,90.4,Month-to-month,Fiber optic,No
5522-JBWMO,44,Month-to-month,DSL,No
3597-MVHJT,95.6,Month-to-month,Fiber optic,No
9774-NRNAU,84.8,Month-to-month,DSL,No
0224-RLWWD,44.3,Month-to-month,DSL,No
9967-ATRFS,19.9,Month-to-month,No,No
3951-NJCVI,95.05,Month-to-month,Fiber optic,No
2977-CEBSX,90.05,Two year,DSL,No
0177-PXBAT,109.9,Month-to-month,Fiber optic,No
6599-CEBNN,73.95,Month-to-month,Fiber optic,Yes
2519-ERQOJ,54.6,Month-to-month,DSL,No
5876-QMYLD,20.05,One year,No,No
2277-AXSDC,19.75,One year,No,No
9442-JTWDL,20.05,One year,No,No
0979-PHULV,99.45,Month-to-month,Fiber optic,Yes
3067-SVMTC,55.9,One year,DSL,No
5495-GPSRW,19.7,Two year,No,No
7606-BPHHN,19.8,Two year,No,No
4742-DRORA,95.4,One year,Fiber optic,No
0111-KLBQG,93.95,Month-to-month,Fiber optic,No
4800-VHZKI,19.9,Month-to-month,No,Yes
7989-CHGTL,19.6,Month-to-month,No,Yes
0334-GDDSO,81.35,Month-to-month,Fiber optic,Yes
4163-NCJAK,24.45,One year,No,No
5233-AOZUF,74.95,Month-to-month,Fiber optic,No
5973-EJGDP,87.35,Month-to-month,Fiber optic,No
1996-DBMUS,70.65,Month-to-month,Fiber optic,No
7916-VCCPB,73.25,Month-to-month,Fiber optic,No
4686-GEFRM,98.7,Two year,Fiber optic,No
5249-QYHEX,24.8,Two year,No,No
0578-SKVMF,83.3,Month-to-month,Fiber optic,Yes
5564-NEMQO,75.3,Month-to-month,Fiber optic,Yes
2233-FAGXV,24.3,Month-to-month,No,No
5605-IYGFG,69.85,Month-to-month,Fiber optic,No
7663-ZTEGJ,100.55,One year,Fiber optic,No
3935-TBRZZ,25.7,One year,No,No
8111-BKVDS,40.7,Month-to-month,DSL,No
2055-SIFSS,51.65,Month-to-month,DSL,No
2806-MLNTI,105.1,One year,Fiber optic,No
8734-DKSTZ,85.95,Month-to-month,Fiber optic,No
4360-PNRQB,75.6,Month-to-month,Fiber optic,No
6152-ONASV,58.25,One year,DSL,No
9063-ZGTUY,19.4,Month-to-month,No,Yes
7781-HVGMK,65.2,Two year,DSL,No
2181-UAESM,53.45,Month-to-month,DSL,No
2957-LOLHO,45.4,Month-to-month,DSL,Yes
6048-NJXHX,19.75,Two year,No,No
2320-SLKMB,44.45,Month-to-month,DSL,No
4980-URKXC,20.85,One year,No,No
4376-KFVRS,114.05,Two year,Fiber optic,No
5886-VLQVU,89.85,Month-to-month,Fiber optic,No
3577-AMVUX,55.05,Month-to-month,DSL,No
0771-WLCLA,112.95,Month-to-month,Fiber optic,No
5628-RKIFK,101.55,Month-to-month,Fiber optic,No
0206-TBWLC,114.65,One year,Fiber optic,No
2937-FTHUR,64.8,Month-to-month,DSL,No
1910-FMXJM,80.4,Month-to-month,Fiber optic,No
7752-XUSCI,105.9,Month-to-month,Fiber optic,Yes
4110-PFEUZ,69.55,Month-to-month,Fiber optic,Yes
0732-OCQOC,25.05,Two year,No,No
5168-MSWXT,94.75,Month-to-month,Fiber optic,No
1090-ESELR,105.5,Two year,Fiber optic,No
8592-PLTMQ,24.7,One year,No,No
5760-WRAHC,69.75,Month-to-month,DSL,No
8847-GEOOQ,60.2,Month-to-month,DSL,No
0256-LTHVJ,81.05,Month-to-month,Fiber optic,Yes
4785-FCIFB,24.4,Two year,No,No
8313-NDOIA,104.15,Month-to-month,Fiber optic,No
5149-CUZUJ,92.9,One year,Fiber optic,No
0942-KOWSM,80.8,Two year,DSL,No
4237-CLSMM,20,Month-to-month,No,No
1452-VOQCH,75.1,Month-to-month,Fiber optic,No
4719-UMSIY,19.65,Month-to-month,No,No
6614-VBEGU,69.45,Month-to-month,DSL,No
0880-TKATG,101.15,Month-to-month,Fiber optic,Yes
3811-VBYBZ,99.8,Month-to-month,Fiber optic,Yes
1480-BKXGA,116.05,Two year,Fiber optic,No
2996-XAUVF,40.05,Two year,DSL,No
9076-AXYIK,102.1,Two year,Fiber optic,No
5968-XQIVE,89.7,One year,Fiber optic,No
8896-RAZCR,19.9,Two year,No,No
4640-UHDOS,55.95,Month-to-month,DSL,Yes
4933-IKULF,20.65,One year,No,No
3583-EKAPL,55,Month-to-month,DSL,Yes
1304-BCCFO,70.05,Month-to-month,DSL,No
4104-PVRPS,53.6,Month-to-month,DSL,No
9399-APLBT,74.7,Month-to-month,Fiber optic,Yes
2359-KMGLI,80.25,Month-to-month,Fiber optic,Yes
3780-DDGSE,76.05,Month-to-month,DSL,No
4431-EDMIQ,75.7,Month-to-month,DSL,No
0306-JAELE,96.1,Month-to-month,Fiber optic,Yes
6227-HWPWX,69,Month-to-month,Fiber optic,Yes
0486-LGCCH,19.65,Two year,No,No
0447-BEMNG,45.3,Month-to-month,DSL,Yes
4612-SSVHJ,81.45,Month-to-month,Fiber optic,No
5168-MQQCA,108.5,One year,Fiber optic,No
5949-XIKAE,83.55,Month-to-month,Fiber optic,Yes
7971-HLVXI,84.5,Two year,Fiber optic,No
9094-AZPHK,100.15,Month-to-month,Fiber optic,No
3649-JPUGY,88.6,Two year,DSL,No
4472-LVYGI,52.55,Two year,DSL,No
8372-JUXUI,74.35,Month-to-month,Fiber optic,Yes
3552-CTCYF,104.8,Two year,Fiber optic,No
6778-YSNIH,59,Month-to-month,DSL,No
0388-EOPEX,74.4,Month-to-month,Fiber optic,Yes
5756-OZRIO,64.05,One year,DSL,No
6579-JPICP,20.4,Month-to-month,No,No
8205-OTCHB,43.75,One year,DSL,Yes
4134-BSXLX,60.9,Month-to-month,DSL,No
0505-SPOOW,19.8,Two year,No,No
6235-VDHOM,28.45,Month-to-month,DSL,Yes
7783-YKGDV,99.7,Month-to-month,Fiber optic,Yes
4374-YMUSQ,116.25,One year,Fiber optic,No
4513-CXYIX,80.7,Two year,Fiber optic,No
3957-HHLMR,65.2,One year,DSL,No
7803-XOCCZ,84.05,Month-to-month,Fiber optic,No
5736-YEJAX,79.45,Two year,DSL,No
5609-CEBID,94.1,Month-to-month,Fiber optic,Yes
8981-FJGLA,78,Month-to-month,Fiber optic,No
7218-HKQFK,94.2,Month-to-month,Fiber optic,Yes
4636-QRJKY,80.5,Month-to-month,Fiber optic,Yes
1135-LMECX,19.85,Month-to-month,No,No
4332-MUOEZ,94.3,One year,Fiber optic,No
8535-SFUTN,106.45,Month-to-month,Fiber optic,No
5956-VKDTT,74.35,Month-to-month,Fiber optic,Yes
8677-HDZEE,105.45,Month-to-month,Fiber optic,No
2475-MROZF,95,Month-to-month,Fiber optic,No
9412-GHEEC,104.8,Month-to-month,Fiber optic,Yes
3482-ABPKK,54.3,One year,DSL,No
6705-LXORM,70.05,Month-to-month,Fiber optic,No
0257-ZESQC,75.2,Month-to-month,Fiber optic,Yes
7531-GQHME,20.05,Month-to-month,No,No
5174-ITUMV,105.4,One year,Fiber optic,No
4109-CYRBD,51.6,Month-to-month,DSL,No
0913-XWSCN,85.5,Month-to-month,Fiber optic,No
6825-UYPFK,75.6,Month-to-month,Fiber optic,Yes
8397-MVTAZ,100.05,Month-to-month,Fiber optic,Yes
0750-EBAIU,91.25,One year,Fiber optic,No
8606-CIQUL,115.75,Two year,Fiber optic,No
3571-DPYUH,94.7,One year,Fiber optic,No
7601-GNDYK,19.6,Two year,No,No
0356-OBMAC,99.9,Two year,Fiber optic,No
8067-NIOYM,21.1,Two year,No,No
1403-GYAFU,20.05,Two year,No,No
4234-XTNEA,79.95,Month-to-month,Fiber optic,No
1297-VQDRP,107.15,One year,Fiber optic,No
9282-IZGQK,85,Month-to-month,Fiber optic,Yes
5348-CAGXB,89.55,Month-to-month,Fiber optic,No
